time,temperature_2m,relative_humidity_2m,shortwave_radiation,wind_speed_10m,precipitation,cloud_cover
2023-01-01 00:00:00,9.2,90,0.0,8.1,0.0,0
2023-01-01 01:00:00,8.8,91,0.0,8.0,0.0,0
2023-01-01 02:00:00,8.2,92,0.0,6.8,0.0,2
2023-01-01 03:00:00,7.9,93,0.0,6.9,0.0,95
2023-01-01 04:00:00,7.9,93,0.0,6.9,0.0,98
2023-01-01 05:00:00,8.0,95,0.0,6.9,0.0,88
2023-01-01 06:00:00,8.0,95,0.0,7.2,0.0,99
2023-01-01 07:00:00,8.1,95,1.0,7.6,0.0,11
2023-01-01 08:00:00,9.5,90,75.0,8.7,0.0,13
2023-01-01 09:00:00,12.0,84,234.0,6.9,0.0,0
2023-01-01 10:00:00,14.4,75,392.0,6.5,0.0,0
2023-01-01 11:00:00,16.2,68,509.0,6.3,0.0,0
2023-01-01 12:00:00,17.3,63,567.0,5.5,0.0,0
2023-01-01 13:00:00,18.0,60,560.0,6.0,0.0,0
2023-01-01 14:00:00,18.3,56,489.0,5.9,0.0,21
2023-01-01 15:00:00,18.2,55,360.0,5.8,0.0,37
2023-01-01 16:00:00,17.4,62,190.0,5.0,0.0,23
2023-01-01 17:00:00,16.8,63,51.0,4.9,0.0,86
2023-01-01 18:00:00,15.8,67,0.0,1.1,0.0,49
2023-01-01 19:00:00,14.9,71,0.0,1.8,0.0,35
2023-01-01 20:00:00,12.0,82,0.0,3.9,0.0,0
2023-01-01 21:00:00,10.6,85,0.0,5.5,0.0,0
2023-01-01 22:00:00,10.8,82,0.0,5.6,0.0,0
2023-01-01 23:00:00,11.2,78,0.0,5.4,0.0,0
2023-01-02 00:00:00,9.3,86,0.0,7.3,0.0,0
2023-01-02 01:00:00,8.6,90,0.0,8.1,0.0,0
2023-01-02 02:00:00,8.1,92,0.0,8.5,0.0,0
2023-01-02 03:00:00,7.3,95,0.0,9.2,0.0,0
2023-01-02 04:00:00,8.9,92,0.0,6.1,0.0,0
2023-01-02 05:00:00,6.5,95,0.0,5.1,0.0,0
2023-01-02 06:00:00,6.7,95,0.0,4.6,0.0,0
2023-01-02 07:00:00,6.3,95,1.0,5.0,0.0,0
2023-01-02 08:00:00,8.8,91,76.0,6.4,0.0,0
2023-01-02 09:00:00,12.1,83,233.0,4.0,0.0,0
2023-01-02 10:00:00,15.0,73,404.0,3.1,0.0,0
2023-01-02 11:00:00,16.6,65,520.0,2.0,0.0,0
2023-01-02 12:00:00,17.5,58,571.0,2.4,0.0,0
2023-01-02 13:00:00,18.0,55,565.0,4.1,0.0,0
2023-01-02 14:00:00,18.2,53,495.0,5.8,0.0,0
2023-01-02 15:00:00,17.9,53,370.0,7.0,0.0,0
2023-01-02 16:00:00,17.0,59,208.0,4.9,0.0,0
2023-01-02 17:00:00,15.2,68,55.0,3.7,0.0,0
2023-01-02 18:00:00,14.1,73,0.0,1.3,0.0,4
2023-01-02 19:00:00,13.3,76,0.0,2.2,0.0,0
2023-01-02 20:00:00,12.8,77,0.0,3.9,0.0,0
2023-01-02 21:00:00,12.4,79,0.0,5.2,0.0,0
2023-01-02 22:00:00,12.2,80,0.0,4.3,0.0,0
2023-01-02 23:00:00,11.7,82,0.0,5.0,0.0,0
2023-01-03 00:00:00,11.0,86,0.0,5.1,0.0,0
2023-01-03 01:00:00,10.4,90,0.0,5.9,0.0,12
2023-01-03 02:00:00,9.5,93,0.0,6.0,0.0,37
2023-01-03 03:00:00,8.5,98,0.0,4.1,0.0,54
2023-01-03 04:00:00,7.8,99,0.0,2.4,0.0,100
2023-01-03 05:00:00,6.0,98,0.0,1.8,0.0,100
2023-01-03 06:00:00,6.5,99,0.0,4.7,0.0,100
2023-01-03 07:00:00,6.7,99,1.0,5.5,0.0,100
2023-01-03 08:00:00,7.8,96,47.0,5.9,0.0,100
2023-01-03 09:00:00,9.7,93,139.0,5.7,0.0,100
2023-01-03 10:00:00,11.1,92,259.0,4.5,0.0,0
2023-01-03 11:00:00,13.6,78,430.0,6.7,0.0,18
2023-01-03 12:00:00,15.3,67,566.0,7.7,0.0,0
2023-01-03 13:00:00,16.2,62,566.0,8.9,0.0,0
2023-01-03 14:00:00,16.6,59,497.0,9.4,0.0,0
2023-01-03 15:00:00,16.5,57,372.0,9.7,0.0,0
2023-01-03 16:00:00,15.8,61,211.0,9.7,0.0,0
2023-01-03 17:00:00,11.9,81,58.0,6.4,0.0,0
2023-01-03 18:00:00,10.7,87,0.0,7.7,0.0,0
2023-01-03 19:00:00,10.0,88,0.0,7.9,0.0,0
2023-01-03 20:00:00,9.6,88,0.0,8.7,0.0,0
2023-01-03 21:00:00,8.9,90,0.0,9.2,0.0,0
2023-01-03 22:00:00,8.2,93,0.0,7.9,0.0,0
2023-01-03 23:00:00,7.6,95,0.0,7.1,0.0,0
2023-01-04 00:00:00,7.3,96,0.0,7.3,0.0,0
2023-01-04 01:00:00,7.3,96,0.0,8.7,0.0,0
2023-01-04 02:00:00,7.1,97,0.0,8.7,0.0,0
2023-01-04 03:00:00,6.8,97,0.0,8.7,0.0,0
2023-01-04 04:00:00,6.6,98,0.0,8.4,0.0,0
2023-01-04 05:00:00,5.4,99,0.0,8.5,0.0,53
2023-01-04 06:00:00,5.7,99,0.0,8.1,0.0,100
2023-01-04 07:00:00,5.9,99,1.0,8.9,0.0,100
2023-01-04 08:00:00,7.1,96,60.0,10.0,0.0,98
2023-01-04 09:00:00,9.1,90,173.0,11.2,0.0,45
2023-01-04 10:00:00,11.3,83,348.0,8.6,0.0,4
2023-01-04 11:00:00,13.2,76,515.0,8.4,0.0,0
2023-01-04 12:00:00,14.8,70,578.0,8.7,0.0,0
2023-01-04 13:00:00,15.8,65,576.0,8.7,0.0,0
2023-01-04 14:00:00,16.4,63,507.0,8.5,0.0,0
2023-01-04 15:00:00,16.5,62,381.0,8.5,0.0,0
2023-01-04 16:00:00,15.9,65,217.0,9.3,0.0,0
2023-01-04 17:00:00,11.1,87,60.0,6.1,0.0,0
2023-01-04 18:00:00,10.0,90,0.0,7.4,0.0,0
2023-01-04 19:00:00,9.5,91,0.0,7.7,0.0,0
2023-01-04 20:00:00,8.5,93,0.0,7.1,0.0,0
2023-01-04 21:00:00,7.6,95,0.0,7.9,0.0,0
2023-01-04 22:00:00,6.7,97,0.0,9.8,0.0,0
2023-01-04 23:00:00,7.1,97,0.0,7.9,0.0,0
2023-01-05 00:00:00,6.4,98,0.0,6.9,0.0,1
2023-01-05 01:00:00,5.8,99,0.0,5.6,0.0,0
2023-01-05 02:00:00,6.0,99,0.0,7.4,0.0,100
2023-01-05 03:00:00,5.9,99,0.0,8.8,0.0,100
2023-01-05 04:00:00,5.7,100,0.0,8.7,0.0,100
2023-01-05 05:00:00,5.4,99,0.0,7.6,0.0,100
2023-01-05 06:00:00,5.7,98,0.0,8.3,0.0,100
2023-01-05 07:00:00,5.8,99,1.0,8.8,0.0,100
2023-01-05 08:00:00,6.5,98,38.0,8.1,0.0,100
2023-01-05 09:00:00,7.8,97,117.0,8.6,0.0,100
2023-01-05 10:00:00,9.1,95,205.0,8.7,0.0,100
2023-01-05 11:00:00,11.4,83,333.0,8.0,0.0,49
2023-01-05 12:00:00,13.3,76,555.0,8.1,0.0,17
2023-01-05 13:00:00,14.6,68,567.0,8.6,0.0,5
2023-01-05 14:00:00,15.4,64,504.0,9.4,0.0,0
2023-01-05 15:00:00,15.4,64,386.0,9.4,0.0,0
2023-01-05 16:00:00,14.9,67,222.0,8.4,0.0,0
2023-01-05 17:00:00,10.8,84,62.0,7.1,0.0,0
2023-01-05 18:00:00,9.8,86,0.0,6.9,0.0,0
2023-01-05 19:00:00,8.7,90,0.0,7.7,0.0,0
2023-01-05 20:00:00,8.7,92,0.0,7.6,0.0,0
2023-01-05 21:00:00,8.4,93,0.0,7.2,0.0,0
2023-01-05 22:00:00,6.9,96,0.0,8.4,0.0,0
2023-01-05 23:00:00,5.6,97,0.0,10.2,0.0,0
2023-01-06 00:00:00,4.9,99,0.0,10.9,0.0,3
2023-01-06 01:00:00,4.8,100,0.0,8.9,0.0,99
2023-01-06 02:00:00,4.9,99,0.0,4.0,0.0,100
2023-01-06 03:00:00,5.0,99,0.0,5.1,0.0,100
2023-01-06 04:00:00,5.0,99,0.0,5.8,0.0,100
2023-01-06 05:00:00,6.4,97,0.0,4.6,0.0,100
2023-01-06 06:00:00,6.9,97,0.0,5.5,0.0,100
2023-01-06 07:00:00,7.1,93,1.0,6.4,0.0,100
2023-01-06 08:00:00,7.4,91,34.0,6.3,0.0,100
2023-01-06 09:00:00,7.9,86,127.0,6.3,0.0,94
2023-01-06 10:00:00,9.3,80,286.0,6.6,0.0,79
2023-01-06 11:00:00,10.6,76,411.0,5.6,0.0,82
2023-01-06 12:00:00,12.1,73,549.0,6.3,0.0,90
2023-01-06 13:00:00,13.1,71,559.0,5.2,0.0,98
2023-01-06 14:00:00,13.9,67,502.0,6.2,0.0,100
2023-01-06 15:00:00,14.1,66,377.0,6.1,0.0,100
2023-01-06 16:00:00,13.6,67,211.0,6.4,0.0,100
2023-01-06 17:00:00,10.6,82,55.0,7.0,0.0,26
2023-01-06 18:00:00,8.3,90,0.0,8.9,0.0,0
2023-01-06 19:00:00,8.4,91,0.0,6.9,0.0,0
2023-01-06 20:00:00,8.0,91,0.0,7.4,0.0,0
2023-01-06 21:00:00,6.1,94,0.0,9.7,0.0,0
2023-01-06 22:00:00,6.1,95,0.0,6.9,0.0,0
2023-01-06 23:00:00,5.3,96,0.0,8.1,0.0,0
2023-01-07 00:00:00,4.6,98,0.0,9.5,0.0,0
2023-01-07 01:00:00,4.0,99,0.0,9.1,0.0,6
2023-01-07 02:00:00,4.4,99,0.0,5.4,0.0,100
2023-01-07 03:00:00,4.5,99,0.0,8.2,0.0,100
2023-01-07 04:00:00,4.3,100,0.0,7.2,0.0,100
2023-01-07 05:00:00,3.8,99,0.0,10.0,0.0,100
2023-01-07 06:00:00,4.7,97,0.0,11.6,0.0,100
2023-01-07 07:00:00,5.4,96,1.0,13.0,0.0,100
2023-01-07 08:00:00,5.9,97,40.0,13.2,0.0,100
2023-01-07 09:00:00,6.9,93,119.0,12.2,0.0,91
2023-01-07 10:00:00,8.8,85,251.0,10.5,0.0,81
2023-01-07 11:00:00,10.8,79,457.0,9.2,0.0,58
2023-01-07 12:00:00,12.6,73,563.0,8.6,0.0,32
2023-01-07 13:00:00,14.2,67,575.0,8.4,0.0,9
2023-01-07 14:00:00,15.1,64,510.0,8.2,0.0,0
2023-01-07 15:00:00,15.3,63,385.0,7.8,0.0,0
2023-01-07 16:00:00,14.7,67,223.0,7.8,0.0,0
2023-01-07 17:00:00,10.1,85,64.0,8.6,0.0,0
2023-01-07 18:00:00,8.9,87,0.0,8.4,0.0,16
2023-01-07 19:00:00,8.6,88,0.0,7.3,0.0,6
2023-01-07 20:00:00,8.3,88,0.0,8.6,0.0,10
2023-01-07 21:00:00,7.9,89,0.0,8.8,0.0,8
2023-01-07 22:00:00,7.4,92,0.0,8.3,0.0,0
2023-01-07 23:00:00,6.8,94,0.0,8.0,0.0,0
2023-01-08 00:00:00,6.4,95,0.0,8.0,0.0,0
2023-01-08 01:00:00,6.0,97,0.0,7.8,0.0,0
2023-01-08 02:00:00,5.8,97,0.0,8.5,0.0,0
2023-01-08 03:00:00,5.8,97,0.0,10.2,0.0,0
2023-01-08 04:00:00,5.8,98,0.0,12.0,0.0,0
2023-01-08 05:00:00,5.7,99,0.0,13.2,0.0,17
2023-01-08 06:00:00,6.0,100,0.0,13.3,0.0,100
2023-01-08 07:00:00,6.5,99,1.0,14.2,0.0,100
2023-01-08 08:00:00,7.1,99,35.0,13.9,0.0,100
2023-01-08 09:00:00,8.2,97,126.0,13.8,0.0,100
2023-01-08 10:00:00,10.0,89,236.0,13.4,0.0,72
2023-01-08 11:00:00,12.4,80,449.0,10.3,0.0,26
2023-01-08 12:00:00,14.4,74,563.0,9.7,0.0,28
2023-01-08 13:00:00,15.9,69,571.0,9.8,0.0,1
2023-01-08 14:00:00,16.8,66,510.0,9.2,0.0,0
2023-01-08 15:00:00,17.1,64,387.0,9.1,0.0,20
2023-01-08 16:00:00,16.5,69,223.0,9.4,0.0,7
2023-01-08 17:00:00,11.8,88,66.0,8.9,0.0,0
2023-01-08 18:00:00,10.7,88,0.0,8.9,0.0,0
2023-01-08 19:00:00,11.1,86,0.0,7.7,0.0,0
2023-01-08 20:00:00,9.4,91,0.0,8.9,0.0,0
2023-01-08 21:00:00,11.2,88,0.0,7.0,0.0,0
2023-01-08 22:00:00,11.1,88,0.0,3.4,0.0,0
2023-01-08 23:00:00,11.2,87,0.0,2.3,0.0,0
2023-01-09 00:00:00,10.8,87,0.0,3.8,0.0,0
2023-01-09 01:00:00,8.2,93,0.0,4.7,0.0,0
2023-01-09 02:00:00,6.0,99,0.0,5.8,0.0,25
2023-01-09 03:00:00,5.7,100,0.0,5.1,0.0,100
2023-01-09 04:00:00,6.6,100,0.0,5.4,0.0,100
2023-01-09 05:00:00,6.6,99,0.0,5.0,0.0,100
2023-01-09 06:00:00,6.6,99,0.0,5.1,0.0,100
2023-01-09 07:00:00,6.6,98,1.0,5.0,0.0,100
2023-01-09 08:00:00,7.4,98,36.0,4.5,0.0,100
2023-01-09 09:00:00,8.7,96,125.0,3.3,0.0,100
2023-01-09 10:00:00,10.7,91,215.0,3.1,0.0,100
2023-01-09 11:00:00,12.6,88,342.0,3.6,0.0,90
2023-01-09 12:00:00,15.3,78,542.0,5.9,0.0,100
2023-01-09 13:00:00,16.8,70,537.0,6.9,0.0,100
2023-01-09 14:00:00,17.2,66,394.0,5.9,0.0,100
2023-01-09 15:00:00,17.4,65,295.0,4.6,0.0,100
2023-01-09 16:00:00,16.9,70,168.0,4.3,0.0,100
2023-01-09 17:00:00,13.8,86,49.0,7.7,0.0,100
2023-01-09 18:00:00,13.4,85,0.0,6.9,0.0,100
2023-01-09 19:00:00,13.0,87,0.0,6.6,0.0,100
2023-01-09 20:00:00,12.2,89,0.0,7.1,0.0,100
2023-01-09 21:00:00,12.5,89,0.0,5.9,0.0,100
2023-01-09 22:00:00,10.5,95,0.0,7.4,0.0,96
2023-01-09 23:00:00,10.5,95,0.0,5.4,0.0,93
2023-01-10 00:00:00,9.6,96,0.0,5.4,0.0,96
2023-01-10 01:00:00,9.4,97,0.0,7.2,0.0,100
2023-01-10 02:00:00,9.4,97,0.0,7.5,0.0,100
2023-01-10 03:00:00,9.5,97,0.0,8.2,0.0,90
2023-01-10 04:00:00,8.8,98,0.0,7.8,0.0,59
2023-01-10 05:00:00,7.5,99,0.0,8.4,0.0,100
2023-01-10 06:00:00,7.6,99,0.0,7.1,0.0,100
2023-01-10 07:00:00,7.6,98,1.0,8.1,0.0,100
2023-01-10 08:00:00,8.3,96,38.0,9.1,0.0,100
2023-01-10 09:00:00,9.2,95,113.0,8.1,0.0,100
2023-01-10 10:00:00,10.7,95,186.0,8.4,0.0,100
2023-01-10 11:00:00,12.9,88,326.0,8.9,0.0,98
2023-01-10 12:00:00,15.5,78,549.0,9.9,0.0,80
2023-01-10 13:00:00,17.2,71,575.0,12.9,0.0,0
2023-01-10 14:00:00,18.1,67,514.0,14.0,0.0,0
2023-01-10 15:00:00,18.4,66,391.0,14.4,0.0,0
2023-01-10 16:00:00,17.8,69,229.0,12.6,0.0,0
2023-01-10 17:00:00,14.0,85,70.0,6.4,0.0,0
2023-01-10 18:00:00,12.1,89,1.0,7.7,0.0,0
2023-01-10 19:00:00,11.4,91,0.0,7.5,0.0,0
2023-01-10 20:00:00,11.3,91,0.0,8.4,0.0,0
2023-01-10 21:00:00,10.7,92,0.0,8.0,0.0,0
2023-01-10 22:00:00,10.4,93,0.0,9.3,0.0,0
2023-01-10 23:00:00,9.9,95,0.0,9.1,0.0,0
2023-01-11 00:00:00,9.5,96,0.0,8.6,0.0,0
2023-01-11 01:00:00,8.8,97,0.0,7.6,0.0,0
2023-01-11 02:00:00,8.7,97,0.0,8.1,0.0,0
2023-01-11 03:00:00,8.4,98,0.0,8.1,0.0,22
2023-01-11 04:00:00,8.4,99,0.0,9.4,0.0,100
2023-01-11 05:00:00,7.6,99,0.0,7.6,0.0,100
2023-01-11 06:00:00,7.7,100,0.0,7.7,0.0,100
2023-01-11 07:00:00,8.0,99,1.0,6.3,0.0,100
2023-01-11 08:00:00,8.6,98,44.0,7.4,0.0,100
2023-01-11 09:00:00,9.5,97,129.0,6.2,0.0,100
2023-01-11 10:00:00,11.6,90,247.0,5.0,0.0,97
2023-01-11 11:00:00,14.3,82,455.0,4.3,0.0,60
2023-01-11 12:00:00,16.7,71,564.0,3.7,0.0,49
2023-01-11 13:00:00,18.4,61,578.0,3.0,0.0,81
2023-01-11 14:00:00,19.4,56,504.0,1.8,0.0,89
2023-01-11 15:00:00,19.7,54,363.0,3.2,0.0,88
2023-01-11 16:00:00,18.9,64,213.0,4.7,0.0,41
2023-01-11 17:00:00,14.8,76,71.0,7.2,0.0,21
2023-01-11 18:00:00,13.6,81,1.0,9.4,0.0,0
2023-01-11 19:00:00,12.8,85,0.0,9.8,0.0,7
2023-01-11 20:00:00,12.3,87,0.0,10.2,0.0,8
2023-01-11 21:00:00,11.7,90,0.0,12.0,0.0,25
2023-01-11 22:00:00,11.4,93,0.0,11.5,0.0,39
2023-01-11 23:00:00,11.5,93,0.0,13.7,0.0,100
2023-01-12 00:00:00,12.0,89,0.0,15.0,0.1,80
2023-01-12 01:00:00,11.3,92,0.0,15.2,0.0,48
2023-01-12 02:00:00,11.0,91,0.0,15.7,0.0,100
2023-01-12 03:00:00,11.2,88,0.0,14.9,0.0,100
2023-01-12 04:00:00,11.3,87,0.0,14.4,0.0,100
2023-01-12 05:00:00,10.5,91,0.0,10.6,0.0,27
2023-01-12 06:00:00,10.2,91,0.0,10.8,0.0,2
2023-01-12 07:00:00,9.8,92,1.0,10.6,0.0,8
2023-01-12 08:00:00,11.5,85,70.0,15.6,0.0,17
2023-01-12 09:00:00,14.1,77,218.0,15.3,0.0,78
2023-01-12 10:00:00,16.4,69,343.0,15.6,0.0,18
2023-01-12 11:00:00,18.2,63,498.0,16.0,0.0,56
2023-01-12 12:00:00,19.1,63,538.0,14.6,0.0,17
2023-01-12 13:00:00,19.7,64,556.0,12.5,0.0,21
2023-01-12 14:00:00,20.1,64,477.0,12.3,0.0,27
2023-01-12 15:00:00,19.8,65,353.0,12.7,0.0,56
2023-01-12 16:00:00,19.0,67,201.0,12.5,0.0,59
2023-01-12 17:00:00,17.0,77,57.0,10.2,0.0,43
2023-01-12 18:00:00,15.9,81,1.0,11.1,0.0,41
