-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2016 through 05/31/2026 in LST
Location: Latitude  28.6139   Longitude 77.209 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M
2016,5,1,0,0.0,28.41,2.59
2016,5,1,1,0.0,27.55,2.64
2016,5,1,2,0.0,26.3,2.88
2016,5,1,3,0.0,25.22,3.12
2016,5,1,4,0.0,24.58,3.13
2016,5,1,5,26.23,24.51,2.96
2016,5,1,6,196.93,28.33,2.67
2016,5,1,7,412.85,31.83,2.92
2016,5,1,8,637.78,36.9,3.23
2016,5,1,9,820.65,40.78,4.77
2016,5,1,10,947.28,42.45,5.2
2016,5,1,11,995.42,43.47,5.54
2016,5,1,12,982.78,44.12,5.8
2016,5,1,13,898.88,44.36,6.05
2016,5,1,14,750.33,44.23,6.31
2016,5,1,15,551.95,43.58,6.55
2016,5,1,16,316.67,42.44,6.44
2016,5,1,17,108.15,39.24,4.02
2016,5,1,18,4.2,34.29,3.62
2016,5,1,19,0.0,32.63,3.72
2016,5,1,20,0.0,31.56,3.72
2016,5,1,21,0.0,30.68,3.75
2016,5,1,22,0.0,29.96,3.81
2016,5,1,23,0.0,29.31,3.86
2016,5,2,0,0.0,28.69,3.87
2016,5,2,1,0.0,28.05,3.81
2016,5,2,2,0.0,27.32,3.7
2016,5,2,3,0.0,26.49,3.56
2016,5,2,4,0.0,25.59,3.39
2016,5,2,5,27.45,25.19,3.06
2016,5,2,6,196.68,28.61,2.97
2016,5,2,7,417.1,31.53,2.17
2016,5,2,8,631.5,36.48,1.46
2016,5,2,9,808.12,42.27,2.69
2016,5,2,10,929.15,44.17,2.94
2016,5,2,11,969.05,45.11,3.05
2016,5,2,12,954.12,45.63,3.19
2016,5,2,13,859.53,45.76,3.23
2016,5,2,14,708.3,45.41,3.22
2016,5,2,15,476.9,44.58,3.24
2016,5,2,16,268.3,43.51,3.22
2016,5,2,17,88.35,40.91,2.08
2016,5,2,18,3.95,37.64,2.21
2016,5,2,19,0.0,36.24,2.35
2016,5,2,20,0.0,34.74,2.7
2016,5,2,21,0.0,33.93,3.04
2016,5,2,22,0.0,33.41,3.27
2016,5,2,23,0.0,33.28,4.18
2016,5,3,0,0.0,33.32,6.17
2016,5,3,1,0.0,32.76,8.31
2016,5,3,2,0.0,31.86,9.52
2016,5,3,3,0.0,30.44,8.03
2016,5,3,4,0.0,29.44,6.08
2016,5,3,5,19.5,29.39,4.02
2016,5,3,6,115.8,30.2,1.2
2016,5,3,7,229.43,31.63,2.88
2016,5,3,8,403.17,34.32,4.85
2016,5,3,9,518.5,37.29,4.48
2016,5,3,10,592.7,39.28,2.67
2016,5,3,11,531.65,40.7,0.85
2016,5,3,12,630.78,41.77,0.54
2016,5,3,13,532.92,42.31,1.23
2016,5,3,14,570.58,42.06,1.46
2016,5,3,15,436.77,41.32,1.89
2016,5,3,16,248.3,40.19,2.63
2016,5,3,17,83.3,38.52,2.82
2016,5,3,18,4.0,36.51,3.31
2016,5,3,19,0.0,35.31,3.58
2016,5,3,20,0.0,34.24,2.74
2016,5,3,21,0.0,33.25,1.92
2016,5,3,22,0.0,32.5,1.75
2016,5,3,23,0.0,31.75,1.71
2016,5,4,0,0.0,30.69,1.8
2016,5,4,1,0.0,29.37,2.03
2016,5,4,2,0.0,27.77,2.35
2016,5,4,3,0.0,26.37,2.64
2016,5,4,4,0.0,25.45,2.83
2016,5,4,5,29.02,25.18,2.97
2016,5,4,6,193.73,27.63,4.51
2016,5,4,7,410.55,30.54,5.19
2016,5,4,8,626.03,34.4,6.06
2016,5,4,9,805.58,37.23,6.13
2016,5,4,10,923.67,39.05,5.74
2016,5,4,11,969.72,40.47,5.37
2016,5,4,12,892.75,41.26,5.01
2016,5,4,13,244.88,41.63,4.57
2016,5,4,14,257.08,41.55,4.04
2016,5,4,15,110.18,41.08,3.81
2016,5,4,16,145.3,40.18,3.91
2016,5,4,17,28.58,37.62,2.47
2016,5,4,18,3.55,33.81,2.58
2016,5,4,19,0.0,32.62,2.76
2016,5,4,20,0.0,32.14,2.71
2016,5,4,21,0.0,31.67,2.53
2016,5,4,22,0.0,31.07,2.41
2016,5,4,23,0.0,30.43,2.31
2016,5,5,0,0.0,29.53,2.26
2016,5,5,1,0.0,28.75,2.12
2016,5,5,2,0.0,28.23,1.91
2016,5,5,3,0.0,27.78,1.74
2016,5,5,4,0.0,27.6,1.48
2016,5,5,5,14.02,27.32,1.2
2016,5,5,6,92.18,28.4,1.59
2016,5,5,7,225.45,30.12,2.11
2016,5,5,8,430.33,33.52,2.7
2016,5,5,9,604.15,35.31,3.43
2016,5,5,10,847.1,36.73,3.98
2016,5,5,11,858.4,37.83,4.23
2016,5,5,12,831.62,38.53,4.19
2016,5,5,13,631.3,38.84,3.98
2016,5,5,14,653.7,38.7,3.77
2016,5,5,15,501.52,38.11,3.53
2016,5,5,16,273.12,37.09,3.14
2016,5,5,17,89.12,35.11,1.89
2016,5,5,18,3.55,32.53,1.5
2016,5,5,19,0.0,32.25,0.94
2016,5,5,20,0.0,31.83,0.3
2016,5,5,21,0.0,31.05,0.95
2016,5,5,22,0.0,29.54,1.86
2016,5,5,23,0.0,28.12,2.66
2016,5,6,0,0.0,26.95,3.21
2016,5,6,1,0.0,25.99,3.41
2016,5,6,2,0.0,25.08,3.17
2016,5,6,3,0.0,24.73,2.67
2016,5,6,4,0.0,24.54,1.51
2016,5,6,5,22.62,24.51,0.83
