time,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,shortwave_radiation
2016-05-01T00:00,26.6,28,0,8.6,0.0
2016-05-01T01:00,26.1,27,0,9.5,0.0
2016-05-01T02:00,25.6,27,0,9.7,0.0
2016-05-01T03:00,25.0,28,0,7.6,0.0
2016-05-01T04:00,24.4,29,0,7.4,0.0
2016-05-01T05:00,23.6,32,0,7.6,0.0
2016-05-01T06:00,23.3,35,0,7.4,35.0
2016-05-01T07:00,26.8,31,0,7.4,212.0
2016-05-01T08:00,31.0,24,0,6.5,439.0
2016-05-01T09:00,34.7,19,0,7.2,655.0
2016-05-01T10:00,37.8,14,0,9.0,832.0
2016-05-01T11:00,39.6,11,0,13.3,954.0
2016-05-01T12:00,40.4,11,0,15.6,1006.0
2016-05-01T13:00,41.0,10,0,17.1,992.0
2016-05-01T14:00,41.2,10,0,18.2,909.0
2016-05-01T15:00,41.2,10,0,18.3,763.0
2016-05-01T16:00,40.8,10,0,17.5,569.0
2016-05-01T17:00,39.8,11,0,12.7,346.0
2016-05-01T18:00,37.3,15,0,8.4,129.0
2016-05-01T19:00,34.9,17,0,9.7,7.0
2016-05-01T20:00,33.2,19,0,9.8,0.0
2016-05-01T21:00,31.7,21,0,9.9,0.0
2016-05-01T22:00,30.5,22,0,10.0,0.0
2016-05-01T23:00,29.8,22,0,9.2,0.0
2016-05-02T00:00,29.3,24,0,9.7,0.0
2016-05-02T01:00,28.8,24,0,10.2,0.0
2016-05-02T02:00,28.3,24,0,9.8,0.0
2016-05-02T03:00,27.6,25,0,9.4,0.0
2016-05-02T04:00,26.3,28,0,10.7,0.0
2016-05-02T05:00,24.9,32,0,7.2,0.0
2016-05-02T06:00,25.0,32,0,12.2,35.0
2016-05-02T07:00,28.6,26,0,10.1,210.0
2016-05-02T08:00,32.8,20,0,7.3,434.0
2016-05-02T09:00,36.1,17,1,5.8,646.0
2016-05-02T10:00,38.8,15,0,4.0,820.0
2016-05-02T11:00,40.7,12,0,0.5,940.0
2016-05-02T12:00,41.5,12,0,1.3,996.0
